dataset,train_mse,test_mse
Abalone,6.353843528457271,6.517465364364519
Airfoil_self_noise,24.796067498418957,24.80435338557949
AutoMPG,17.26585255319964,16.550495544797077
Baseball,0.15173564295669148,0.14246648605225082
Computer_hardware,94362.65900870021,92410.32777307073
Concrete_Compressive_Strength,234.49165632291357,232.8544731995139
Energy_efficiency,16.476071334470664,16.34835112444791
Laser,464.8631860783984,725.0294729729052
QSAR_aquatic_toxicity,1.9009364785385179,2.357008435578941
Treasury,0.6551670000638149,0.7812241002819288
wine-quality-red,0.45067562875052347,0.4356963476468458
wine-quality-white,0.6033067147614588,0.7413879970233322
Yacht_Hydrodynamics,136.5914693655706,107.38693280662577
