dataset,optimiser,initialisation,test_mse
Abalone,pso,casp_adapt,0.009954163325862854
Airfoil,pso,casp_adapt,0.02909787813898375
AutoMPG,pso,casp_adapt,0.007979942883870234
Concrete,pso,casp_adapt,0.03077484458322285
Cool,pso,casp_adapt,0.01865874201235883
Energy,pso,casp_adapt,0.03736537386570591
QSAR,pso,casp_adapt,0.021893395670283467
Treasury,pso,casp_adapt,0.009833978384460531
Yacht,pso,casp_adapt,0.010899705059253379
Baseball,pso,casp_adapt,0.04524360640150428
Ankara,pso,casp_adapt,0.025066241560513066
Izmir,pso,casp_adapt,0.047496859971145104
Categorical,pso,casp_adapt,0.05628555189923924
Computer,pso,casp_adapt,0.007016044133810571
Electrical,pso,casp_adapt,0.01338226116601351
Laser,pso,casp_adapt,0.020550804816711038
Prices,pso,casp_adapt,0.02537607898871468
Heat,pso,casp_adapt,0.034668247339479756
Wine,pso,casp_adapt,0.021831294522199767
AutoMPG6,pso,casp_adapt,0.022073824046187587
