dataset,adam_train_mse,adam_test_mse,pso_train_mse,pso_test_mse
Abalone,7.370104150648833,7.48197674661449,8.244855853689147,8.450164978474767
Airfoil_self_noise,24.81224794973056,24.8183597415159,15633.809332376039,15622.639578358805
AutoMPG,17.3010243536212,16.773300847353774,616.0569811320755,605.183
Baseball,0.15148550675516093,0.14204592129813542,0.25,0.22761194029850745
Bike_Sharing,0.017717431374225663,0.017785118469845422,0.03038788880807301,0.03051256594508398
Computer_hardware,94909.57101007033,90045.7167152412,36643.622754491014,22003.785714285714
Concrete_Compressive_Strength,234.4992538798723,232.9418184319452,245.5768248251954,220.3920138410776
Concrete_Slump,0.016143510844050215,0.03632796941622153,0.023808089540930534,0.04461627971832068
Energy_efficiency,16.46392624356979,16.323858416833623,591.334994228013,631.0097577922079
Forest_Fires,0.0016709412615427972,0.010287165527082032,0.0017569610444770913,0.01058465399691909
Housing,0.012342130582955892,0.02013204234849778,0.0330184041999156,0.03913780236710202
Laser,465.4867924478829,730.0288869599395,5494.427631138993,6824.8904085043405
QSAR_aquatic_toxicity,1.8996541896581742,2.3596922770779125,2.1669445310151207,2.151299164533754
Treasury,0.6537881721666189,0.7762949585529483,5.830526962027602,5.684682631592872
wine-quality-red,0.45121051460501643,0.439701848352788,0.6751763519747102,0.562751502464424
wine-quality-white,0.6032824102608838,0.749081689197209,0.6614726647121912,0.7753984016030165
Yacht_Hydrodynamics,136.29166392123943,106.86453854009851,140.05494902639924,101.34268759794605
